* Measurement data measured by REW V5.31.3
* Source: ISO 11904-1 DF (711 Z) 10dB w/ EQ filters
* Format: 
* Dated: Aug 17, 2024 10:38:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.0 dB
* Note: Measurement imported from C:\Users\therollo9\Documents\SquigLink\data\ISO 11904-1 DF (711 Z) 10dB Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,049 Hz log spaced  LS Q     Fc   105.0 Hz  Gain   6.60 dB Q  0.710 PK       Fc    2800 Hz  Gain  -1.80 dB  Q  1.000 HS Q     Fc    2500 Hz  Gain  -3.00 dB Q  0.420
* Measurement: Razan Tilt Target
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
4940.670408, 2.186
4976.472542, 2.110
5012.534114, 2.038
5048.857002, 1.969
5085.443101, 1.904
5122.294318, 1.843
5159.412574, 1.785
5196.799805, 1.732
5234.457958, 1.683
5272.388998, 1.637
5310.594903, 1.594
5349.077662, 1.555
5387.839284, 1.517
5426.881789, 1.483
5466.207211, 1.450
5505.817602, 1.418
5545.715026, 1.388
5585.901563, 1.360
5626.379308, 1.332
5667.150372, 1.305
5708.216880, 1.279
5749.580972, 1.253
5791.244806, 1.229
5833.210553, 1.206
5875.480402, 1.184
5918.056555, 1.162
5960.941232, 1.142
6004.136669, 1.122
6047.645119, 1.104
6091.468848, 1.088
6135.610143, 1.073
6180.071303, 1.059
6224.854647, 1.047
6269.962510, 1.035
6315.397243, 1.024
6361.161215, 1.014
6407.256811, 1.006
6453.686435, 0.998
6500.452508, 0.992
6547.557466, 0.988
6595.003766, 0.986
6642.793882, 0.985
6690.930305, 0.985
6739.415544, 0.988
6788.252128, 0.991
6837.442601, 0.996
6886.989528, 1.000
6936.895493, 1.006
6987.163098, 1.011
7037.794962, 1.016
7088.793725, 1.020
7140.162047, 1.023
7191.902604, 1.024
7244.018095, 1.022
7296.511237, 1.019
7349.384765, 1.012
7402.641436, 1.001
7456.284028, 0.985
7510.315335, 0.965
7564.738176, 0.940
7619.555387, 0.909
7674.769827, 0.872
7730.384373, 0.830
7786.401924, 0.781
7842.825403, 0.726
7899.657748, 0.666
7956.901925, 0.599
8014.560916, 0.526
8072.637728, 0.448
8131.135389, 0.362
8190.056948, 0.270
8249.405477, 0.170
8309.184070, 0.064
8369.395843, -0.050
8430.043935, -0.171
8491.131508, -0.300
8552.661747, -0.436
8614.637860, -0.577
8677.063077, -0.723
8739.940653, -0.872
8803.273866, -1.024
8867.066017, -1.177
8931.320433, -1.327
8996.040462, -1.474
9061.229480, -1.616
9126.890884, -1.749
9193.028098, -1.872
9259.644569, -1.984
9326.743770, -2.084
9394.329201, -2.170
9462.404382, -2.240
9530.972865, -2.296
9600.038224, -2.335
9669.604058, -2.358
9739.673995, -2.364
9810.251688, -2.354
9881.340815, -2.327
9952.945084, -2.283
10025.068227, -2.219
10097.714004, -2.139
10170.886202, -2.044
10244.588636, -1.934
10318.825149, -1.813
10393.599609, -1.686
10468.915917, -1.560
10544.777997, -1.441
10621.189805, -1.335
10698.155325, -1.251
10775.678568, -1.193
10853.763577, -1.168
10932.414422, -1.176
11011.635204, -1.219
11091.430052, -1.294
11171.803126, -1.402
11252.758617, -1.542
11334.300744, -1.704
11416.433760, -1.886
11499.161945, -2.090
11582.489613, -2.310
11666.421107, -2.539
11750.960803, -2.774
11836.113109, -3.014
11921.882464, -3.254
12008.273339, -3.491
12095.290238, -3.720
12182.937697, -3.933
12271.220285, -4.126
12360.142606, -4.306
12449.709294, -4.470
12539.925020, -4.611
12630.794486, -4.735
12722.322430, -4.844
12814.513622, -4.934
12907.372870, -5.013
13000.905015, -5.086
13095.114932, -5.157
13190.007533, -5.224
13285.587765, -5.287
13381.860610, -5.351
13478.831089, -5.417
13576.504255, -5.487
13674.885201, -5.564
13773.979057, -5.649
13873.790987, -5.742
13974.326195, -5.845
14075.589924, -5.957
14177.587451, -6.077
14280.324094, -6.202
14383.805209, -6.334
14488.036190, -6.471
14593.022473, -6.613
14698.769529, -6.755
14805.282873, -6.896
14912.568055, -7.034
15020.630671, -7.166
15129.476353, -7.289
15239.110775, -7.402
15349.539654, -7.502
15460.768745, -7.587
15572.803849, -7.656
15685.650805, -7.704
15799.315497, -7.727
15913.803850, -7.723
16029.121833, -7.689
16145.275457, -7.625
16262.270778, -7.535
16380.113896, -7.423
16498.810954, -7.294
16618.368139, -7.155
16738.791685, -7.009
16860.087870, -6.859
16982.263017, -6.709
17105.323495, -6.561
17229.275720, -6.418
17354.126154, -6.281
17479.881306, -6.155
17606.547732, -6.041
17734.132034, -5.942
17862.640866, -5.862
17992.080925, -5.803
18122.458960, -5.769
18253.781768, -5.763
18386.056195, -5.787
18519.289138, -5.844
