* Measurement data measured by REW V5.31.3
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Dusk Analog (L) 1, Dusk Analog (L) 2, Dusk Analog (L) 3
* Dated: Aug 8, 2024 9:10:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of Dusk Analog (L) 1, Dusk Analog (L) 2, Dusk Analog (L) 3
* Measurement: Moondrop Dusk Analog L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz), SPL(dB)
8500.000000, 96.381
8620.000000, 95.936
8750.000000, 95.665
8850.000000, 95.511
9000.000000, 95.226
9120.000000, 94.954
9250.000000, 94.708
9380.000000, 94.583
9500.000000, 94.583
9620.000000, 94.666
9750.000000, 94.803
9880.000000, 94.938
10000.000000, 95.022
10150.000000, 95.032
10300.000000, 94.910
10440.000000, 94.668
10600.000000, 94.247
10750.000000, 93.731
10900.000000, 93.123
11060.000000, 92.397
11200.000000, 91.714
11380.000000, 90.799
11500.000000, 90.187
11720.000000, 89.151
11800.000000, 88.827
12060.000000, 88.036
12200.000000, 87.761
12410.000000, 87.477
12500.000000, 87.385
12650.000000, 87.257
12800.000000, 87.153
13150.000000, 86.986
13200.000000, 86.970
13400.000000, 86.927
13600.000000, 86.918
13800.000000, 86.945
14000.000000, 87.021
14300.000000, 87.273
14500.000000, 87.593
14750.000000, 88.270
15000.000000, 89.351
15250.000000, 90.821
15500.000000, 92.457
15750.000000, 93.884
16000.000000, 94.732
16250.000000, 94.784
16500.000000, 94.035
16750.000000, 92.667
17000.000000, 90.939
17250.000000, 89.096
17500.000000, 87.303
17750.000000, 85.641
18000.000000, 84.132
18250.000000, 82.775
18500.000000, 81.562
18750.000000, 80.470
19000.000000, 79.461
19250.000000, 78.488
19500.000000, 77.534
19750.000000, 76.679
20000.000000, 76.150
